Comission;Voters;Com_Ballots;Home_Ballots;Home_B_Box;Com_B_Box;Invalid;Rodina;Kommunisty_Rossii;Pensionery;United_Russia;Zelenye;Civic_Platform;LDPR;PARNAS;Partiia_Rosta;Civic_Power;YABLOKO;KPRF;Patriots_of_Russia;A_Just_Russia
”»  π36;206†;194†;0†;0†;194†;0†;0.0052;0.0155;0.0052;0.9278;0.0206;0.0000;0.0000;0.0000;0.0052;0.0000;0.0000;0.0000;0.0103;0.0103
”»  π37;193†;185†;1†;1†;185†;0†;0.0108;0.0215;0.0000;0.9086;0.0269;0.0000;0.0000;0.0000;0.0108;0.0054;0.0054;0.0000;0.0000;0.0108
”»  π38;1097†;1044†;8†;8†;1044†;0†;0.0029;0.0086;0.0010;0.9610;0.0171;0.0000;0.0000;0.0000;0.0038;0.0000;0.0000;0.0000;0.0000;0.0057
”»  π39;1240†;1200†;11†;11†;1200†;1†;0.0033;0.0066;0.0000;0.9670;0.0132;0.0000;0.0008;0.0000;0.0025;0.0000;0.0000;0.0000;0.0000;0.0058
”»  π40;1006†;979†;4†;4†;979†;0†;0.0020;0.0031;0.0000;0.9603;0.0224;0.0000;0.0000;0.0000;0.0041;0.0010;0.0000;0.0000;0.0010;0.0061
”»  π41;453†;442†;1†;1†;442†;0†;0.0068;0.0090;0.0000;0.9391;0.0271;0.0000;0.0000;0.0023;0.0045;0.0000;0.0000;0.0000;0.0023;0.0090
”»  π42;590†;570†;4†;4†;570†;0†;0.0017;0.0105;0.0000;0.9564;0.0174;0.0000;0.0000;0.0000;0.0052;0.0017;0.0000;0.0000;0.0017;0.0052
”»  π43;387†;373†;3†;3†;373†;0†;0.0053;0.0053;0.0000;0.9601;0.0133;0.0000;0.0000;0.0000;0.0053;0.0000;0.0027;0.0000;0.0027;0.0053
”»  π44;220†;210†;5†;5†;210†;0†;0.0047;0.0047;0.0047;0.9535;0.0047;0.0000;0.0000;0.0000;0.0047;0.0093;0.0000;0.0000;0.0093;0.0047
”»  π45;134†;129†;1†;1†;129†;0†;0.0154;0.0231;0.0000;0.9077;0.0308;0.0000;0.0000;0.0000;0.0154;0.0000;0.0000;0.0000;0.0000;0.0077
”»  π46;291†;281†;0†;0†;281†;0†;0.0142;0.0178;0.0000;0.9181;0.0356;0.0000;0.0000;0.0000;0.0036;0.0036;0.0036;0.0000;0.0000;0.0036
”»  π47;295†;285†;2†;2†;285†;0†;0.0070;0.0105;0.0000;0.9373;0.0209;0.0035;0.0000;0.0000;0.0070;0.0000;0.0000;0.0000;0.0035;0.0105
”»  π48;452†;434†;8†;8†;434†;0†;0.0068;0.0045;0.0023;0.9661;0.0113;0.0000;0.0000;0.0000;0.0023;0.0000;0.0000;0.0000;0.0023;0.0045
”»  π49;44†;42†;0†;0†;42†;0†;0.0000;0.0238;0.0000;0.8810;0.0238;0.0000;0.0000;0.0000;0.0238;0.0000;0.0238;0.0000;0.0000;0.0238
”»  π50;431†;409†;1†;1†;409†;0†;0.0049;0.0098;0.0000;0.9463;0.0268;0.0024;0.0000;0.0000;0.0024;0.0000;0.0000;0.0000;0.0024;0.0049
”»  π51;226†;218†;3†;3†;218†;0†;0.0045;0.0045;0.0000;0.9548;0.0181;0.0000;0.0000;0.0045;0.0045;0.0000;0.0000;0.0000;0.0045;0.0045
”»  π52;1297†;1251†;9†;9†;1251†;1†;0.0040;0.0056;0.0000;0.9492;0.0302;0.0000;0.0000;0.0000;0.0024;0.0008;0.0008;0.0000;0.0008;0.0056
”»  π53;1277†;1234†;7†;7†;1234†;1†;0.0024;0.0032;0.0000;0.9637;0.0226;0.0000;0.0000;0.0000;0.0016;0.0016;0.0000;0.0000;0.0008;0.0032
”»  π54;1220†;1173†;5†;5†;1173†;0†;0.0034;0.0025;0.0000;0.9703;0.0187;0.0008;0.0000;0.0000;0.0008;0.0000;0.0000;0.0000;0.0008;0.0025
”»  π55;2502†;2434†;11†;11†;2434†;1†;0.0025;0.0041;0.0000;0.9652;0.0237;0.0000;0.0000;0.0000;0.0008;0.0008;0.0004;0.0000;0.0004;0.0016
”»  π56;503†;480†;3†;3†;480†;0†;0.0041;0.0041;0.0000;0.9565;0.0290;0.0000;0.0021;0.0000;0.0000;0.0000;0.0000;0.0000;0.0021;0.0021
”»  π57;171†;163†;2†;2†;163†;0†;0.0061;0.0000;0.0061;0.9394;0.0121;0.0000;0.0000;0.0000;0.0061;0.0061;0.0000;0.0000;0.0121;0.0121
”»  π58;487†;475†;1†;1†;475†;0†;0.0042;0.0063;0.0000;0.9538;0.0273;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0021;0.0063
”»  π59;734†;703†;5†;5†;703†;0†;0.0042;0.0056;0.0000;0.9590;0.0212;0.0000;0.0000;0.0000;0.0000;0.0014;0.0000;0.0000;0.0014;0.0071
