idno;cntry;nwspol;netusoft;netustm;ppltrst;pplfair;pplhlp;polintr;psppsgva;actrolga;psppipla;cptppola;trstprl;trstlgl;trstplc;trstplt;trstprt;trstep;trstun;vote;contplt;wrkprty;wrkorg;badge;sgnptit;pbldmn;bctprd;pstplonl;clsprty;prtdgcl;lrscale;stflife;stfeco;stfgov;stfdem;stfedu;stfhlth;gincdif;mnrgtjb;freehms;hmsfmlsh;hmsacld;euftf;imsmetn;imdfetn;impcntr;imbgeco;imueclt;imwbcnt;happy;sclmeet;inprdsc;sclact;crmvct;aesfdrk;health;hlthhmp;atchctr;atcherp;hinctnta;hincfel;Random;
1604;BE;210;5;480;7;8;6;1;4;5;4;5;7;8;8;7;5;9;6;1;1;1;1;2;2;2;1;1;1;2;4;8;8;5;7;8;10;2;5;1;5;1;9;1;1;1;10;10;8;8;6;3;4;1;1;2;3;7;10;10;1;0,259925929;
3588;SE;120;5;900;6;4;6;2;3;4;5;3;6;7;5;2;4;7;8;3;2;2;1;2;1;2;2;1;1;2;6;7;6;7;8;7;8;3;5;5;5;1;8;2;2;2;3;8;8;9;7;5;5;1;3;1;3;6;7;9;1;0,044726318;
1521;HU;60;1;6666;5;8;5;3;3;2;2;2;8;9;9;5;5;2;5;1;2;2;2;2;2;2;2;2;2;6;5;10;10;10;5;10;10;2;3;2;4;1;8;2;3;3;8;5;3;8;6;2;3;2;1;4;1;10;10;2;3;0,917418906;
1989;HU;60;1;6666;7;4;7;2;1;2;2;3;5;6;7;4;5;8;8;1;2;2;2;2;2;2;2;2;2;6;88;10;3;3;0;3;3;2;3;7;7;7;7;1;3;4;3;5;5;8;6;4;2;2;1;1;3;10;10;1;2;0,780300909;
1043;ES;180;5;60;8;8;5;1;2;3;1;5;0;0;7;0;0;5;5;1;1;1;2;2;1;1;2;2;1;3;4;5;2;0;0;4;5;4;4;2;3;2;10;1;1;1;8;8;8;7;5;0;2;2;2;2;3;0;5;6;2;0,381508309;
386;AT;60;1;6666;7;7;7;2;2;2;2;2;6;7;8;3;5;4;5;1;2;2;1;2;1;2;2;2;1;3;5;9;7;4;6;6;8;2;5;2;8;4;6;2;3;3;4;3;3;9;5;3;3;2;2;2;3;7;6;5;2;0,334851181;
1257;SI;0;5;120;5;7;7;4;2;1;2;1;4;3;8;0;0;3;3;1;2;2;2;2;2;2;2;2;2;6;7;9;5;0;2;5;3;4;4;2;4;4;8;2;3;3;7;3;5;9;4;1;1;2;2;1;3;7;8;10;1;0,895592406;
10004817;DE;20;5;480;4;3;5;1;4;3;3;2;6;3;5;4;3;6;5;1;2;2;2;2;2;2;2;2;2;6;5;5;4;5;7;5;5;2;5;2;3;4;7;3;3;2;6;6;5;9;6;4;2;2;4;2;3;9;7;1;2;0,758784465;
13387;FI;30;5;60;8;8;2;2;2;2;2;2;8;9;9;7;4;1;3;1;2;2;2;2;1;2;1;2;2;6;6;8;5;4;6;9;8;2;4;1;5;3;4;2;3;3;7;7;7;8;3;3;3;1;2;2;2;8;4;9;2;0,263918783;
41032337;NL;30;5;195;7;7;6;3;3;1;3;1;6;7;7;5;6;6;6;1;2;2;2;2;2;2;2;2;8;6;5;7;7;7;7;8;6;3;4;2;4;3;6;2;2;2;6;6;7;8;5;3;3;2;2;3;3;8;5;8;1;0,923684989;
1605;CZ;60;5;180;3;3;1;2;1;3;2;3;2;1;3;0;2;0;0;1;1;2;2;2;1;2;1;1;1;2;6;9;3;0;2;6;5;5;4;2;3;5;0;3;3;3;5;2;2;9;4;1;4;1;3;3;3;9;5;77;1;0,489232014;
1645;LT;120;1;6666;2;1;3;1;4;2;3;3;5;5;8;7;4;5;5;1;2;2;2;2;2;2;2;2;1;2;9;5;4;5;8;7;2;1;2;3;3;5;6;3;3;3;5;5;5;7;5;3;1;2;2;2;3;10;10;6;2;0,479505646;
112816;PT;60;1;6666;3;5;5;4;3;1;1;1;5;4;3;6;0;2;8;1;2;2;2;2;2;2;2;2;1;4;4;6;3;2;0;5;8;1;5;1;5;5;5;2;2;3;4;5;5;6;6;4;2;2;2;2;3;10;6;1;3;0,866487328;
4220;FR;30;5;120;8;6;4;1;3;4;3;3;6;7;7;5;5;8;5;3;1;2;2;1;1;2;1;2;1;2;5;7;5;4;6;4;5;2;5;1;4;2;10;2;2;2;6;5;5;8;7;4;4;2;2;2;3;6;9;7;3;0,504092891;
1829;HU;60;1;6666;7;6;7;3;3;2;3;2;6;8;9;5;5;8;4;1;2;2;2;2;2;2;2;2;1;2;7;8;3;6;6;7;7;2;3;2;4;3;7;2;3;3;7;7;7;6;5;2;3;2;2;3;2;8;5;1;4;0,848906441;
2078;SE;5;5;120;8;7;5;3;3;3;3;2;4;4;5;5;4;2;2;1;2;2;2;2;1;2;1;1;2;6;5;7;4;5;5;6;5;2;5;1;4;1;2;1;1;1;7;8;10;7;6;4;2;2;2;1;3;7;5;10;1;0,697254218;
2461;FR;60;5;30;5;8;8;1;2;3;2;2;6;3;7;7;6;6;3;1;2;2;2;2;2;2;1;2;1;2;3;8;6;5;7;6;6;2;5;1;5;4;8;1;2;3;8;8;5;7;6;3;3;2;2;1;3;8;7;9;1;0,646739692;
100002916;GB;90;5;60;4;5;6;2;3;2;2;3;6;7;7;6;6;5;7;1;2;2;2;2;1;2;2;2;1;2;5;4;6;6;5;5;5;2;4;2;4;3;3;3;3;3;5;4;4;7;6;4;3;2;2;4;2;8;3;2;2;0,098126158;
2450;CH;8888;5;60;5;5;7;4;2;1;1;1;88;5;8;5;5;5;8;3;2;2;2;2;2;2;2;2;2;6;5;9;9;8;8;9;9;3;3;3;3;3;5;1;1;1;7;7;7;8;6;6;3;2;1;2;2;8;10;77;2;0,053831046;
2990;ES;30;5;120;5;6;7;1;3;3;3;4;1;1;6;0;0;1;2;1;2;2;2;2;2;2;2;1;1;2;2;8;4;2;4;6;7;1;5;1;5;1;6;2;2;2;5;6;5;8;7;4;3;2;1;1;3;7;7;88;1;0,807972455;
2395;RU;60;5;360;3;2;5;2;2;2;2;2;5;5;5;5;5;5;5;1;2;2;2;2;2;2;2;2;7;6;5;5;5;5;5;3;3;3;3;3;3;3;5;8;8;8;88;88;2;8;88;77;8;2;1;2;3;3;1;77;1;0,27513101;
