"","clmt_binary","age","gndr","lr_scale","Age"
"1297",1,"36-50","Male",0,42
"1298",0,"18-24","Male",1,20
"1299",NA,"50-65","Male",0,53
"1300",1,"36-50","Female",0,43
"1301",1,"36-50","Female",0,38
"1302",1,"36-50","Male",3,50
"1303",1,"25-35","Female",NA,25
"1304",0,"25-35","Female",NA,26
"1305",1,"25-35","Female",1,26
"1306",0,"25-35","Female",NA,26
"1307",1,"25-35","Male",NA,27
"1308",NA,"18-24","Male",NA,23
"1309",1,"25-35","Female",1,25
"1310",1,"36-50","Male",NA,47
"1311",1,"25-35","Male",0,25
"1312",1,"25-35","Female",NA,25
"1313",1,"25-35","Male",NA,25
"1314",0,"36-50","Female",NA,44
"1315",1,"25-35","Female",0,28
"1316",1,"25-35","Female",1,25
"1317",1,"25-35","Female",NA,25
"1318",1,"18-24","Female",NA,24
"1319",1,"18-24","Male",NA,23
"1320",1,"> 65","Female",NA,78
"1321",1,"50-65","Female",NA,64
"1322",1,"25-35","Male",0,29
"1323",1,"25-35","Female",NA,34
"1324",1,"> 65","Female",NA,67
"1325",1,"25-35","Female",NA,35
"1326",NA,"> 65","Female",NA,66
"1327",1,"> 65","Female",NA,66
"1328",1,"> 65","Female",NA,80
"1329",1,"36-50","Male",NA,44
"1330",1,"36-50","Male",0,38
"1331",1,"36-50","Male",0,45
"1332",1,"50-65","Male",-1,54
"1333",1,"> 65","Female",NA,69
"1334",1,"50-65","Female",-1,56
"1335",1,"> 65","Female",1,66
"1336",1,"50-65","Male",0,56
"1337",1,"> 65","Female",NA,74
"1338",1,"> 65","Female",NA,66
"1339",0,"36-50","Male",1,38
"1340",1,"25-35","Female",0,30
"1341",1,"> 65","Female",NA,80
"1342",1,"18-24","Female",NA,23
"1343",1,"25-35","Female",NA,35
"1344",NA,"36-50","Male",NA,36
"1345",0,"25-35","Male",NA,35
"1346",0,"36-50","Male",0,50
"1347",0,"25-35","Male",0,27
"1348",0,"25-35","Male",NA,29
"1349",1,"25-35","Female",NA,30
"1350",1,"36-50","Female",0,50
"1351",1,"50-65","Male",0,60
"1352",1,"36-50","Female",NA,38
"1353",1,"36-50","Female",NA,37
"1354",0,"> 65","Female",NA,75
"1355",0,"36-50","Female",2,50
"1356",1,"25-35","Male",0,25
"1357",1,"25-35","Male",0,29
"1358",0,"36-50","Male",0,37
"1359",1,"36-50","Male",0,42
"1360",1,"36-50","Female",0,39
"1361",1,"36-50","Female",0,44
"1362",1,"> 65","Female",3,70
"1363",NA,"36-50","Male",1,40
"1364",1,"18-24","Female",0,18
"1365",1,"36-50","Female",0,38
"1366",1,"36-50","Female",NA,42
"1367",1,"36-50","Female",1,48
"1368",1,"36-50","Female",0,36
"1369",1,"18-24","Male",0,17
"1370",0,"18-24","Male",0,16
"1371",1,"36-50","Female",0,43
"1372",1,"36-50","Female",NA,47
"1373",1,"25-35","Female",NA,32
"1374",1,"36-50","Male",2,44
"1375",1,"25-35","Male",0,30
"1376",NA,"25-35","Female",0,34
"1377",1,"18-24","Male",NA,23
"1378",0,"36-50","Male",0,41
"1379",1,"50-65","Male",-1,52
"1380",1,"25-35","Female",0,28
"1381",1,"25-35","Male",0,28
"1382",NA,"> 65","Female",0,83
"1383",1,"50-65","Female",0,60
"1384",0,"50-65","Male",NA,57
"1385",0,"> 65","Male",0,74
"1386",1,"50-65","Female",1,58
"1387",NA,"36-50","Female",0,46
"1388",1,"50-65","Female",2,61
"1389",1,"36-50","Female",0,46
"1390",1,"50-65","Male",0,63
"1391",1,"50-65","Female",NA,51
"1392",0,"> 65","Male",0,86
"1393",1,"36-50","Male",-1,42
"1394",NA,"25-35","Male",0,30
"1395",0,"> 65","Male",0,73
"1396",NA,"50-65","Male",NA,62
"1397",NA,"36-50","Male",NA,48
"1398",1,"36-50","Female",NA,42
"1399",1,"36-50","Male",NA,38
"1400",0,"50-65","Female",NA,60
"1401",0,"25-35","Female",NA,26
"1402",0,"50-65","Female",NA,54
"1403",1,"36-50","Female",NA,37
"1404",NA,"36-50","Female",2,40
"1405",NA,"50-65","Female",1,51
"1406",NA,"18-24","Male",NA,18
"1407",0,"36-50","Male",NA,44
"1408",1,"50-65","Female",2,65
"1409",0,"> 65","Female",NA,79
"1410",1,"> 65","Female",NA,70
"1411",1,"25-35","Male",NA,25
"1412",1,"25-35","Male",2,29
"1413",1,"25-35","Male",NA,28
"1414",0,"50-65","Male",2,60
"1415",1,"> 65","Female",1,79
"1416",1,"> 65","Female",1,70
"1417",1,"36-50","Male",1,40
"1418",1,"36-50","Female",NA,41
"1419",1,"> 65","Male",NA,78
"1420",1,"> 65","Male",0,66
"1421",0,"50-65","Male",NA,57
"1422",NA,"25-35","Male",NA,30
"1423",1,"> 65","Male",1,77
"1424",1,"36-50","Male",1,39
"1425",1,"18-24","Female",2,18
"1426",1,"36-50","Male",2,37
"1427",1,"36-50","Female",NA,50
"1428",1,"> 65","Female",NA,82
"1429",1,"50-65","Male",1,65
"1430",1,"> 65","Female",NA,74
"1431",1,"36-50","Male",NA,46
"1432",1,"50-65","Female",0,58
"1433",1,"36-50","Male",0,38
"1434",1,"> 65","Female",NA,77
"1435",1,"25-35","Male",NA,34
"1436",0,"36-50","Male",NA,36
"1437",1,"36-50","Male",0,42
"1438",1,"50-65","Female",NA,61
"1439",1,"50-65","Female",NA,61
"1440",1,"25-35","Female",1,35
"1441",0,"36-50","Female",NA,40
"1442",0,"50-65","Male",NA,59
"1443",1,"25-35","Male",0,28
"1444",0,"> 65","Male",NA,79
"1445",0,"50-65","Male",0,55
"1446",0,"> 65","Female",NA,80
"1447",1,"36-50","Female",0,37
"1448",NA,"36-50","Male",0,41
"1449",0,"25-35","Male",0,34
"1450",1,"50-65","Male",NA,55
"1451",0,"36-50","Female",1,49
"1452",1,"50-65","Female",1,59
"1453",0,"36-50","Male",2,49
"1454",1,"36-50","Female",2,48
"1455",1,"36-50","Female",1,38
"1456",1,"25-35","Male",1,31
"1457",NA,"18-24","Female",1,21
"1458",0,"36-50","Male",1,47
"1459",0,"25-35","Female",0,29
"1460",1,"50-65","Male",3,52
"1461",1,"25-35","Male",0,35
"1462",0,"36-50","Female",NA,50
"1463",1,"36-50","Male",-2,40
"1464",1,"18-24","Male",NA,16
"1465",1,"50-65","Female",-1,55
"1466",0,"25-35","Male",NA,30
"1467",0,"50-65","Female",NA,62
"1468",1,"36-50","Male",0,39
"1469",1,"36-50","Female",NA,39
"1470",1,"50-65","Female",0,58
"1471",1,"> 65","Female",0,73
"1472",1,"25-35","Female",0,30
"1473",1,"36-50","Male",0,38
"1474",1,"> 65","Female",0,70
"1475",1,"25-35","Male",-1,30
"1476",1,"36-50","Male",-1,37
"1477",1,"25-35","Male",0,27
"1478",1,"36-50","Female",0,50
"1479",1,"25-35","Female",0,27
"1480",1,"50-65","Male",0,63
"1481",1,"50-65","Female",0,62
"1482",1,"36-50","Male",0,38
"1483",1,"18-24","Male",0,16
"1484",1,"50-65","Male",0,65
"1485",1,"36-50","Male",0,36
"1486",1,"18-24","Female",0,18
"1487",1,"50-65","Female",-1,58
"1488",1,"50-65","Female",NA,63
"1489",1,"36-50","Male",NA,48
"1490",1,"50-65","Female",-3,59
"1491",1,"> 65","Female",NA,83
"1492",NA,"36-50","Male",NA,37
"1493",1,"> 65","Female",3,67
"1494",1,"50-65","Female",NA,51
"1495",1,"50-65","Male",-4,64
"1496",1,"50-65","Male",NA,59
"1497",1,"36-50","Male",5,37
"1498",0,"18-24","Male",NA,15
"1499",0,"36-50","Male",NA,37
"1500",1,"50-65","Male",0,56
"1501",NA,"25-35","Male",NA,25
"1502",1,"50-65","Female",4,54
"1503",1,"> 65","Female",-3,67
"1504",0,"50-65","Female",5,54
"1505",1,"50-65","Female",0,64
"1506",0,"> 65","Male",NA,78
"1507",1,"50-65","Female",NA,60
"1508",0,"50-65","Male",NA,64
"1509",1,"36-50","Female",1,46
"1510",1,"25-35","Female",0,28
"1511",1,"50-65","Female",NA,53
"1512",1,"50-65","Female",NA,52
"1513",1,"50-65","Male",NA,60
"1514",1,"25-35","Male",2,34
"1515",1,"> 65","Male",NA,67
"1516",1,"50-65","Female",-1,56
"1517",1,"36-50","Male",NA,40
"1518",1,"50-65","Female",NA,63
