"","year","region","wine","beer","vodka","champagne","brandy","district"
"218",2000,"Orenburg Oblast",1.6,31.5,9.5,0.7,0.1,"Volga"
"219",2000,"Oryol Oblast",3.2,31.1,14.8,1.2,0.4,"Central"
"220",2000,"Penza Oblast",1.8,27,6.4,0.3,0.1,"Volga"
"221",2000,"Perm Krai",4.1,30.7,20,1.3,0.3,"Volga"
"222",2000,"Primorsky Krai",1.8,25.1,15,0.6,0.2,"Far Eastern"
"223",2000,"Pskov Oblast",7.1,22,12.9,0.5,0.1,"Northwestern"
"224",2000,"Altai Republic",5.4,12.1,9.8,0.7,0.1,"Siberian"
"225",2000,"Komi Republic",4.6,35.1,27.4,1.9,0.4,"Northwestern"
"226",2000,"Tuva Republic",1.6,24.4,11.3,0.1,0.4,"Siberian"
"227",2000,"Rostov Oblast",5.5,30,7.9,2.2,0.2,"Southern"
"228",2000,"Ryazan Oblast",2.1,32.2,13.3,1.2,0.1,"Central"
"229",2000,"Samara Oblast",2.1,29.4,7.6,1.5,0.2,"Volga"
"230",2000,"Saint Petersburg",4.4,68.2,14.7,2,0.9,"Northwestern"
"231",2000,"Saratov Oblast",2,22.1,7.4,1.3,0.2,"Volga"
"232",2000,"Sakhalin Oblast",2.6,21.8,18.8,0.5,0.1,"Far Eastern"
"233",2000,"Sverdlovsk Oblast",4,42.5,13.6,1,0.4,"Ural"
"234",2000,"Sevastopol",NA,NA,NA,NA,NA,"Southern"
"235",2000,"Republic of North Ossetia-Alania",2.6,19.9,9.8,1.3,0.1,"North Caucasian"
"236",2000,"Smolensk Oblast",4.9,55.3,21.2,0.8,0.2,"Central"
"237",2000,"Stavropol Krai",6.4,25.9,13.7,1.1,0.3,"North Caucasian"
"238",2000,"Tambov Oblast",2.1,22.5,11.6,1.1,0.2,"Central"
"239",2000,"Republic of Tatarstan",1.3,33.4,14.8,0.4,0.1,"Volga"
"240",2000,"Tver Oblast",4,33.7,17.1,0.7,0.3,"Central"
"241",2000,"Tomsk Oblast",5.3,32,14.8,0.8,0.1,"Siberian"
"242",2000,"Tula Oblast",2.7,36.4,13.2,0.6,0.1,"Central"
"243",2000,"Tyumen Oblast",4.6,36.9,18,0.8,0.3,"Ural"
"244",2000,"Udmurt Republic",1.5,20.1,13.4,0.3,0.1,"Volga"
"245",2000,"Ulyanovsk Oblast",0.8,46.1,10.5,0.4,0.1,"Volga"
"246",2000,"Khabarovsk Krai",4.2,31.9,15.3,0.7,0.4,"Far Eastern"
"247",2000,"Republic of Khakassia",3,47.9,17,1.4,0.6,"Siberian"
"248",2000,"Khanty-Mansi Autonomous Okrug (Yugra)",4.6,36.9,18,0.8,0.3,"Ural"
"249",2000,"Chelyabinsk Oblast",4.3,46.3,15.7,1,0.2,"Ural"
"250",2000,"Chechen Republic",NA,NA,NA,NA,NA,"North Caucasian"
"251",2000,"Chuvash Republic",2.9,29.8,9.6,0.5,0.1,"Volga"
"252",2000,"Chukotka Autonomous Okrug",1,5.2,6.5,1.7,0.2,"Far Eastern"
"253",2000,"Sakha (Yakutia) Republic",2.6,15.4,15.2,0.6,0.2,"Far Eastern"
"254",2000,"Yamalo-Nenets Autonomous Okrug",4.6,36.9,18,0.8,0.3,"Ural"
"255",2000,"Yaroslavl Oblast",3.5,57.1,18.3,1.5,0.3,"Central"
"256",2001,"Republic of Adygea",3.8,22,7.8,0.5,0.1,"Southern"
"257",2001,"Altai Krai",2.3,39.5,12,1.4,0.1,"Siberian"
"258",2001,"Amur Oblast",2.6,31.2,17.6,0.6,0.2,"Far Eastern"
"259",2001,"Arkhangelsk Oblast",7,47.6,23.5,1.2,0.9,"Northwestern"
"260",2001,"Astrakhan Oblast",3.8,42.6,11.9,0.8,0.1,"Southern"
"261",2001,"Republic of Bashkortostan",1.2,34.9,10.9,0.3,0.1,"Volga"
"262",2001,"Belgorod Oblast",3.4,23.2,9.5,0.8,0.1,"Central"
"263",2001,"Bryansk Oblast",2.7,41.6,8,0.4,0.1,"Central"
"264",2001,"Republic of Buryatia",1.7,11.7,18.7,0.6,0.1,"Far Eastern"
"265",2001,"Vladimir Oblast",2.4,28.5,15.3,0.6,0.1,"Central"
"266",2001,"Volgograd Oblast",2.1,42.5,11.9,1.8,0.3,"Southern"
"267",2001,"Vologda Oblast",7.8,50.5,23,0.5,0.3,"Northwestern"
"268",2001,"Voronezh Oblast",3.6,37.7,9.2,1.5,0.2,"Central"
"269",2001,"Republic of Dagestan",4.6,3.3,1.8,0.4,0.1,"North Caucasian"
"270",2001,"Jewish Autonomous Oblast",5.1,17.8,12,0.4,0.1,"Far Eastern"
"271",2001,"Zabaykalsky Krai",3.5,23.8,8.6,0.4,0.1,"Far Eastern"
"272",2001,"Ivanovo Oblast",3.3,60.7,16.5,0.3,0.1,"Central"
"273",2001,"Republic of Ingushetia",9.9,9.5,4,1.3,1.5,"North Caucasian"
"274",2001,"Irkutsk Oblast",7.1,38.9,11.9,1.4,0.5,"Siberian"
"275",2001,"Kabardino-Balkar Republic",2.7,26.5,12.4,0.4,0.6,"North Caucasian"
"276",2001,"Kaliningrad Oblast",1.7,44.5,13.3,1.1,0.7,"Northwestern"
"277",2001,"Republic of Kalmykia",3.4,13.9,15.4,1.3,0.1,"Southern"
"278",2001,"Kaluga Oblast",2.5,34.1,12,0.6,0.1,"Central"
"279",2001,"Kamchatka Krai",7.4,33.6,26.7,0.9,0.4,"Far Eastern"
"280",2001,"Karachay-Cherkess Republic",2.3,9.4,13.4,0.2,0.1,"North Caucasian"
"281",2001,"Republic of Karelia",5.1,28,15.9,0.4,0.2,"Northwestern"
"282",2001,"Kemerovo Oblast",2.1,28.6,18.8,0.6,0.2,"Siberian"
"283",2001,"Kirov Oblast",2.8,20.4,14.1,0.4,0.1,"Volga"
"284",2001,"Kostroma Oblast",3.5,25.4,17.2,0.6,0.2,"Central"
"285",2001,"Krasnodar Krai",6.6,48,8.9,1.4,0.3,"Southern"
"286",2001,"Krasnoyarsk Krai",4.9,59.6,15.4,1.5,0.6,"Siberian"
