Comission;Voters;Com_Ballots;Home_Ballots;Home_B_Box;Com_B_Box;Absentee;Invalid;Rodina;Kommunisty_Rossii;Pensionery;United_Russia;Zelenye;Civic_Platform;LDPR;PARNAS;Partiia_Rosta;Civic_Power;YABLOKO;KPRF;Patriots_of_Russia;A_Just_Russia
PEC ¹517;477;134;20;20;134;0;5;0.0065;0.0325;0.0325;0.2727;0;0.0065;0.4026;0.0065;0.026;0.0065;0.0714;0.0519;0.0065;0.0455
PEC ¹469;235;62;1;0;62;0;5;0.0323;0.0161;0;0.2742;0;0;0.2581;0.0161;0;0.0323;0.0161;0.1452;0;0.129
PEC ¹122;142;86;39;39;86;0;5;0.024;0.04;0.032;0.312;0.032;0;0.24;0.016;0.008;0;0.032;0.088;0.032;0.104
PEC ¹163;478;219;2;2;219;0;5;0.0045;0.0407;0.0362;0.3484;0.0181;0;0.1946;0.0045;0;0;0.0136;0.1855;0;0.1312
PEC ¹298;1741;523;2;2;523;0;5;0.0057;0.0133;0.0229;0.36;0.0038;0;0.301;0.0095;0.019;0;0.0381;0.1086;0.0019;0.1067
PEC ¹373;1022;282;20;20;282;0;5;0.0132;0.0364;0.0265;0.3609;0.0166;0.0033;0.1755;0.0099;0.0033;0.0033;0.0695;0.1291;0;0.1358
PEC ¹244;376;150;16;16;150;0;5;0.0181;0.0241;0.0422;0.3675;0;0;0.1687;0.006;0.006;0;0.0783;0.1386;0;0.1205
PEC ¹389;615;213;29;29;213;0;5;0.0041;0.0248;0.0207;0.3719;0.0083;0;0.1983;0;0.0041;0;0.0248;0.1488;0.0041;0.1694
PEC ¹468;607;145;3;3;145;0;5;0.0135;0.0068;0.0068;0.3784;0.0068;0;0.25;0;0.0068;0;0.0878;0.0676;0.027;0.1149
PEC ¹508;390;157;18;18;157;0;5;0.0286;0.0629;0.0229;0.3829;0.0057;0.0057;0.1429;0;0;0;0.0286;0.2114;0.0057;0.0743
PEC ¹126;336;147;156;156;147;0;5;0.0099;0.0198;0.0396;0.396;0;0.0033;0.2178;0;0.0066;0;0.0594;0.1386;0.0033;0.0891
PEC ¹533;548;255;6;6;255;0;5;0.0038;0.0268;0.0153;0.4023;0.0115;0;0.2835;0;0.0077;0.0038;0.0115;0.1188;0.0038;0.092
PEC ¹262;341;134;1;0;134;0;5;0;0.0149;0.0224;0.4104;0;0.0075;0.2687;0;0;0.0075;0.0075;0.0224;0;0.2015
PEC ¹276;490;220;18;18;220;0;5;0.0168;0.021;0.0126;0.4202;0.0042;0;0.3908;0.0042;0;0.0042;0.0042;0.0756;0;0.0252
PEC ¹432;358;88;1;0;88;0;5;0;0.0341;0.0114;0.4432;0;0;0.1136;0;0;0;0.0795;0.1364;0;0.125
PEC ¹325;1007;277;23;23;277;0;5;0.0067;0.0367;0.0167;0.4433;0;0;0.26;0;0;0;0.02;0.1267;0.0033;0.07
PEC ¹146;264;91;25;25;91;0;5;0.0345;0.0172;0.0603;0.4483;0.0086;0;0.181;0;0.0086;0;0.0172;0.0259;0.0086;0.1466
PEC ¹195;204;95;6;6;95;0;5;0;0;0.0198;0.4554;0.0198;0.0099;0.2475;0;0;0;0.0396;0.0891;0;0.0693
PEC ¹496;279;101;3;3;101;0;5;0;0.0481;0;0.5;0;0;0.1346;0;0;0;0.0288;0.0673;0;0.1731
PEC ¹234;498;155;17;59;155;-42;5;0;0.0234;0.0093;0.5093;0.0047;0.0047;0.2897;0;0;0;0.0047;0.1028;0.0047;0.0234
PEC ¹227;207;62;2;2;62;0;6;0;0.0313;0.0156;0.3594;0.0156;0;0.2188;0;0;0;0.0469;0.0781;0.0313;0.1094
PEC ¹535;313;154;3;3;154;0;6;0.0127;0.0255;0.0318;0.3822;0.0382;0.0064;0.172;0.0064;0.0191;0;0.0637;0.0701;0;0.1338
PEC ¹252;583;233;8;8;233;0;6;0;0.0373;0.0207;0.39;0.0041;0;0.278;0;0.0124;0;0.0083;0.083;0.0041;0.1369
PEC ¹387;989;344;11;11;344;0;6;0.0141;0.0169;0.0197;0.4169;0;0.0056;0.2028;0.0085;0.0028;0;0.0479;0.1042;0;0.1437
PEC ¹374;531;183;21;21;183;0;6;0.0147;0.0147;0.0245;0.4265;0.0098;0.0049;0.152;0.0196;0.0098;0;0.0784;0.1029;0.0049;0.1078
PEC ¹217;466;193;21;21;192;1;6;0.0094;0.0235;0.0423;0.4554;0.0047;0;0.1737;0.0047;0.0188;0;0.0235;0.1221;0.0047;0.0892
PEC ¹362;411;187;6;6;187;0;6;0.0155;0.0052;0.0311;0.4663;0.0052;0;0.1813;0;0.0155;0;0.0777;0.0984;0;0.0725
PEC ¹551;1311;533;10;10;533;0;6;0.0166;0.0258;0.0295;0.4733;0.0092;0;0.1492;0.0018;0.0239;0.0055;0.0387;0.1455;0.0074;0.0626
PEC ¹284;356;158;14;14;158;0;6;0;0.0291;0.0349;0.4767;0.0116;0.0058;0.186;0;0;0;0.0233;0.1395;0;0.0581
PEC ¹233;305;110;8;8;110;0;6;0;0.0169;0;0.4915;0;0;0.2712;0;0;0;0;0.1102;0.0339;0.0254
PEC ¹359;857;289;57;57;289;0;6;0.0087;0.0173;0.0231;0.5376;0.0029;0.0029;0.1445;0.0029;0.0058;0;0.0462;0.0751;0.0058;0.1098
PEC ¹406;376;150;6;6;150;0;6;0.0192;0.0128;0.0192;0.5385;0;0.0064;0.1282;0;0.0064;0;0.0256;0.0897;0.0321;0.0833
PEC ¹430;574;211;10;10;211;0;6;0.009;0.0226;0.0181;0.5475;0.0136;0.0045;0.1674;0;0;0.0045;0.0226;0.1312;0.0045;0.0271
PEC ¹542;770;268;53;53;268;0;6;0.0031;0.0405;0.0125;0.5639;0.0031;0.0031;0.1838;0;0.0031;0.0031;0.0374;0.0841;0;0.0436
PEC ¹439;414;98;6;6;98;0;6;0.0096;0.0288;0.0096;0.5673;0;0.0096;0.1346;0.0096;0;0.0096;0.0288;0.0481;0.0096;0.0769
PEC ¹29;1414;609;3;3;608;1;7;0.0065;0.0229;0.0262;0.3044;0.0033;0.0131;0.1915;0.0082;0.0262;0.0033;0.1506;0.126;0.0033;0.1031
PEC ¹300;1682;497;10;10;497;0;7;0.0059;0.0375;0.0276;0.3728;0.0039;0.002;0.2505;0.002;0.0178;0;0.0276;0.1637;0.0039;0.071
PEC ¹279;503;153;7;7;153;0;7;0.0125;0.0438;0.0063;0.4125;0;0;0.1813;0.0063;0;0;0.025;0.2;0.0063;0.0625
PEC ¹412;176;57;26;26;57;0;7;0.012;0.0361;0.0602;0.4217;0.012;0;0.2289;0;0;0;0.0361;0.012;0;0.0964
PEC ¹301;476;114;22;22;114;0;7;0.0147;0.0221;0.0147;0.4412;0.0221;0;0.2279;0;0.0074;0;0.0221;0.1176;0;0.0588
PEC ¹479;458;201;28;28;201;0;7;0.0087;0.0262;0.0175;0.4541;0.0044;0;0.2751;0.0044;0.0044;0.0044;0.0218;0.0873;0.0044;0.0568
PEC ¹264;412;142;16;16;142;0;7;0.0253;0.038;0.0316;0.5;0.0063;0;0.1266;0;0;0;0;0.0506;0.0253;0.1519
PEC ¹501;1386;457;55;55;457;0;7;0.0059;0.0195;0.0254;0.5117;0.0039;0.002;0.2168;0.002;0.0098;0;0.0293;0.1133;0;0.0469
PEC ¹144;460;174;2;2;174;0;8;0.0114;0.0341;0.0341;0.25;0.0114;0;0.1705;0;0.0057;0;0.0227;0.1136;0.0114;0.2898
PEC ¹167;768;243;26;26;242;1;8;0;0.0336;0.0448;0.291;0.0112;0;0.2015;0.0112;0.0187;0.0075;0.0037;0.1866;0.0075;0.153
PEC ¹245;741;279;12;12;279;0;8;0.0172;0.0103;0.0275;0.3574;0.0034;0;0.1546;0.0069;0.0069;0;0.0447;0.1306;0.0034;0.2096
PEC ¹190;710;238;28;28;238;0;8;0.0113;0.0226;0.0414;0.3609;0.0038;0.0038;0.297;0.0038;0.0075;0;0.0489;0.1015;0.0038;0.0639
PEC ¹172;361;118;8;8;118;0;8;0.0238;0.0476;0.0317;0.3651;0;0.0079;0.1587;0.0079;0.0079;0;0.0159;0.119;0.0079;0.1429
PEC ¹133;1232;361;4;4;361;0;8;0.0192;0.0219;0.0164;0.3753;0.0027;0;0.1781;0.0082;0.0137;0;0.0356;0.1288;0.0055;0.1726
