Gender;Age;Satisfaction;Participation;Vote;Duma;Violation;Observers;Obs_elections;Trust_Putin;Protest;Education;FO;Region;wes_total_reg
2;29;2;1; ; ;1;1; ;1; ;2;1;78;1.540488144
1;25;2;1; ;1;3;3;1;1;2;6;1;39;1.365233796
2;73;5;1;2;2;2; ;1; ;1;6;1;78;0.446171608
2;60; ;2; ; ;1;3;1; ; ;2;1;78;0.617441746
1;29;4;1;1;3;2;1;1;2;2;6;1;47;0.932381641
2;37;2;2;2;2;2; ;2;2;1;6;1;51;1.108694766
2;39;3;1; ; ; ;2;2;2;1;4;1;78;0.683564977
1;28;3;2; ;7;2;2;2; ;1;5;1;35;0.636748438
1;60;5;1; ; ; ; ;2; ;2;6;1;78;0.933778035
2;51;3;5; ;9; ;3;2;1;2;4;1;10;0.788140246
2;58;2;1; ;9;1;1;1;1;2;4;1;35;0.598497702
1;59;3;1; ;2;2;3; ; ;1;6;1;47;0.593517858
2;88; ;5;5;9; ;2;2;1;2;4;1;78;1.257392713
2;60;5;1; ;1; ;2;2; ;1;2;1;29;0.475698934
2;74;3;1; ;2; ;1;1;1;2;1;1;47;0.804399984
2;23;3;4; ;9; ;1;1; ;2;6;1;35;1.956348455
2;50;2;1;5;1;1;1;2; ;2;4;1;39;0.268487336
2;31;2;2; ;9;1;1;2;1;1;6;1;47;0.919405416
1;37;1;1;5;1; ;1;1;1;1;6;1;35;0.890598478
2;70;3;1;5;2; ;3;2;1;2;4;1;47;0.285432253
2;55; ;1;5;9; ;1;1;1;2;2;1;35;0.578300665
2;52;3;1;5;9; ;1;2;1;2;2;1;60;0.622162324
2;66;1;1;5;1; ;3;2;1;2;2;1;78;1.886089069
2;41;3; ;3;9;2;3;2;2;1;1;1;47;0.911149871
2;34;3;1;5;8;1;1;2;1;2;6;1;47;0.919405416
2;53;4;1;5;1; ;1;1;1;2;4;3;18;0.893866376
2;57;2;1;5; ;1;1;2;1;2;4;1;29;0.850496735
1;54;1;2;5;9;1;2;2;1;2;6;1;35;1.332183367
1;47;5;1; ;6;3;3;2; ;1;4;1;78;1.895522521
2;75;4;1;5;1; ;3;2;1; ;6;1;78;0.329317139
1;40;4;1;5;1;3;1;2;1;2;4;1;11;1.429086536
2;66;4;1;2;2;1;1;1; ;2;4;1;47;0.285432253
1;71;4;1;5;9; ;1;2;1;2;6;1;11;0.928191508
1;46;2;1;1;3; ; ;2;1;1;6;1;51;6.173414037
1;27;4;1; ; ; ;1;1; ;1;5;4;23;1.273496875
1;50;2;1;5;9; ;1;2;1;2;4;1;39;1.656281815
2;56;5;1;5;1;1;1;1;1;2;4;1;60;0.670303043
1;55;3;1; ; ; ; ;1;1;1;5;4;61;0.276158403
2;55;1;1;5;1;1;1;1;1;2;6;1;29;0.604371596
2;57;3;2;1;3;3;3;1;1;1;4;4;61;0.539512206
2;27;2;2;5;9;1;1;2;1;1;4;1;51;0.506670714
1;77;4;5;3;9; ;2;1;2;2;1;4;61;2.060835319
1;57;3;1;5;1;1;1; ;1;2;4;1;47;0.937835131
2;24;1;2;5;9; ;1;2;1;1;4;4;23;2.097000959
2;70;4;1;5;6; ;1;2;1;2;2;1;10;0.389858686
1;46;1;2; ; ;3;1;2;1;1;6;4;1;1.077897689
1;57;3;1;3;2;1;1;1; ;2;4;1;10;0.810658538
1;40;2;3; ;9; ; ;2; ;2;2;1;47;0.52314775
